<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ЛУКОЙЛ;D;19/08/13;000000;1907.8;654213
ЛУКОЙЛ;D;20/08/13;000000;1906;799230
ЛУКОЙЛ;D;21/08/13;000000;1907.9;803532
ЛУКОЙЛ;D;22/08/13;000000;1944.9;1245159
ЛУКОЙЛ;D;23/08/13;000000;1946;934751
ЛУКОЙЛ;D;26/08/13;000000;1945.5;384689
ЛУКОЙЛ;D;27/08/13;000000;1948.4;714078
ЛУКОЙЛ;D;28/08/13;000000;1959.1;1184290
ЛУКОЙЛ;D;29/08/13;000000;1950;761840
ЛУКОЙЛ;D;30/08/13;000000;1924.5;870308
ЛУКОЙЛ;D;02/09/13;000000;1945.1;379052
ЛУКОЙЛ;D;03/09/13;000000;1942.5;766330
ЛУКОЙЛ;D;04/09/13;000000;1929.9;487836
ЛУКОЙЛ;D;05/09/13;000000;1993;1148021
ЛУКОЙЛ;D;06/09/13;000000;2000.2;1660317
ЛУКОЙЛ;D;09/09/13;000000;2020;1300434
ЛУКОЙЛ;D;10/09/13;000000;2002;1448134
ЛУКОЙЛ;D;11/09/13;000000;2023.1;936221
ЛУКОЙЛ;D;12/09/13;000000;2008.8;1297804
ЛУКОЙЛ;D;13/09/13;000000;2006.6;730136
ЛУКОЙЛ;D;16/09/13;000000;2029;1409337
ЛУКОЙЛ;D;17/09/13;000000;2029.9;790905
ЛУКОЙЛ;D;18/09/13;000000;2017.5;823072
ЛУКОЙЛ;D;19/09/13;000000;2036.7;1889065
ЛУКОЙЛ;D;20/09/13;000000;2025;2298198
ЛУКОЙЛ;D;23/09/13;000000;2042.1;1030581
ЛУКОЙЛ;D;24/09/13;000000;2043;1201384
ЛУКОЙЛ;D;25/09/13;000000;2079;1285304
ЛУКОЙЛ;D;26/09/13;000000;2082;1368558
ЛУКОЙЛ;D;27/09/13;000000;2083;1240883
ЛУКОЙЛ;D;30/09/13;000000;2054.9;921414
ЛУКОЙЛ;D;01/10/13;000000;2046.1;632499
ЛУКОЙЛ;D;02/10/13;000000;2029.3;896842
ЛУКОЙЛ;D;03/10/13;000000;2037.9;885382
ЛУКОЙЛ;D;04/10/13;000000;2055;937570
ЛУКОЙЛ;D;07/10/13;000000;2062.5;974214
ЛУКОЙЛ;D;08/10/13;000000;2112;2465991
ЛУКОЙЛ;D;09/10/13;000000;2111.6;1295918
ЛУКОЙЛ;D;10/10/13;000000;2120;988567
ЛУКОЙЛ;D;11/10/13;000000;2119;815754
ЛУКОЙЛ;D;14/10/13;000000;2107;701378
ЛУКОЙЛ;D;15/10/13;000000;2136;842506
ЛУКОЙЛ;D;16/10/13;000000;2125.1;681596
ЛУКОЙЛ;D;17/10/13;000000;2092.3;1166535
ЛУКОЙЛ;D;18/10/13;000000;2122.1;987387
ЛУКОЙЛ;D;21/10/13;000000;2117.6;632755
ЛУКОЙЛ;D;22/10/13;000000;2108;864957
ЛУКОЙЛ;D;23/10/13;000000;2087.5;786949
ЛУКОЙЛ;D;24/10/13;000000;2071.1;749261
ЛУКОЙЛ;D;25/10/13;000000;2094;772877
ЛУКОЙЛ;D;28/10/13;000000;2097.9;684466
ЛУКОЙЛ;D;29/10/13;000000;2107.2;739828
ЛУКОЙЛ;D;30/10/13;000000;2089.9;779637
ЛУКОЙЛ;D;31/10/13;000000;2102.4;1102259
ЛУКОЙЛ;D;01/11/13;000000;2112;626528
ЛУКОЙЛ;D;05/11/13;000000;2093.9;935068
ЛУКОЙЛ;D;06/11/13;000000;2087.4;992085
ЛУКОЙЛ;D;07/11/13;000000;2093;996787
ЛУКОЙЛ;D;08/11/13;000000;2064.1;1145339
ЛУКОЙЛ;D;11/11/13;000000;2059.6;759973
ЛУКОЙЛ;D;12/11/13;000000;2079;1027425
ЛУКОЙЛ;D;13/11/13;000000;2048.5;1374831
ЛУКОЙЛ;D;14/11/13;000000;2078.2;1167906
ЛУКОЙЛ;D;15/11/13;000000;2071;666132
ЛУКОЙЛ;D;18/11/13;000000;2092;952160
ЛУКОЙЛ;D;19/11/13;000000;2087;795019
ЛУКОЙЛ;D;20/11/13;000000;2084.1;721086
ЛУКОЙЛ;D;21/11/13;000000;2066.4;772239
ЛУКОЙЛ;D;22/11/13;000000;2084.3;928183
ЛУКОЙЛ;D;25/11/13;000000;2080.2;943766
ЛУКОЙЛ;D;26/11/13;000000;2070.1;1691164
ЛУКОЙЛ;D;27/11/13;000000;2054.1;1596412
ЛУКОЙЛ;D;28/11/13;000000;2050.1;799603
ЛУКОЙЛ;D;29/11/13;000000;2042.8;1127125
ЛУКОЙЛ;D;02/12/13;000000;2033.6;767744
ЛУКОЙЛ;D;03/12/13;000000;2000.1;2201521
ЛУКОЙЛ;D;04/12/13;000000;1982.5;2290382
ЛУКОЙЛ;D;05/12/13;000000;1961.1;1732547
ЛУКОЙЛ;D;06/12/13;000000;1970;1135676
ЛУКОЙЛ;D;09/12/13;000000;1994.6;1402295
ЛУКОЙЛ;D;10/12/13;000000;1999.7;1246750
ЛУКОЙЛ;D;11/12/13;000000;2002.5;1223294
ЛУКОЙЛ;D;12/12/13;000000;1997.5;1346929
ЛУКОЙЛ;D;13/12/13;000000;1998.3;1612573
ЛУКОЙЛ;D;16/12/13;000000;2011.6;1419136
ЛУКОЙЛ;D;17/12/13;000000;2022.3;1145732
ЛУКОЙЛ;D;18/12/13;000000;2018.3;1062311
ЛУКОЙЛ;D;19/12/13;000000;2037.6;1375996
ЛУКОЙЛ;D;20/12/13;000000;2033;816947
ЛУКОЙЛ;D;23/12/13;000000;2025.8;890414
ЛУКОЙЛ;D;24/12/13;000000;2014.8;575745
ЛУКОЙЛ;D;25/12/13;000000;2006.5;559784
ЛУКОЙЛ;D;26/12/13;000000;2016.2;268172
ЛУКОЙЛ;D;27/12/13;000000;2007.3;324183
ЛУКОЙЛ;D;30/12/13;000000;2039.7;467116
ЛУКОЙЛ;D;06/01/14;000000;1990.2;809076
ЛУКОЙЛ;D;08/01/14;000000;1959.1;665615
ЛУКОЙЛ;D;09/01/14;000000;1979.1;1209783
ЛУКОЙЛ;D;10/01/14;000000;1991.6;1087232
ЛУКОЙЛ;D;13/01/14;000000;2001.1;1104271
ЛУКОЙЛ;D;14/01/14;000000;1980;1258339
