<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Сбербанк;D;29/11/13;000000;103.07;79612660
Сбербанк;D;02/12/13;000000;102.36;61527830
Сбербанк;D;03/12/13;000000;100.24;123406320
Сбербанк;D;04/12/13;000000;98.95;96070960
Сбербанк;D;05/12/13;000000;98.25;94786250
Сбербанк;D;06/12/13;000000;99.9;107963460
Сбербанк;D;09/12/13;000000;101;95366620
Сбербанк;D;10/12/13;000000;100.16;91125870
Сбербанк;D;11/12/13;000000;100.65;85886120
Сбербанк;D;12/12/13;000000;98.96;103712820
Сбербанк;D;13/12/13;000000;98.94;79694090
Сбербанк;D;16/12/13;000000;99.85;87234110
Сбербанк;D;17/12/13;000000;100.15;72704270
Сбербанк;D;18/12/13;000000;100.18;59591350
Сбербанк;D;19/12/13;000000;101.78;105506160
Сбербанк;D;20/12/13;000000;102.2;75647410
Сбербанк;D;23/12/13;000000;102.45;67006350
Сбербанк;D;24/12/13;000000;101.96;40338120
Сбербанк;D;25/12/13;000000;101.62;22183040
Сбербанк;D;26/12/13;000000;101.95;22250510
Сбербанк;D;27/12/13;000000;100.68;37103790
Сбербанк;D;30/12/13;000000;101.17;34310640
Сбербанк;D;06/01/14;000000;98.91;31691800
Сбербанк;D;08/01/14;000000;98.19;42372290
Сбербанк;D;09/01/14;000000;98;45986900
Сбербанк;D;10/01/14;000000;99.2;51902400
Сбербанк;D;13/01/14;000000;100.25;62051250
Сбербанк;D;14/01/14;000000;99.24;78485160
Сбербанк;D;15/01/14;000000;100.77;77839370
Сбербанк;D;16/01/14;000000;100.65;62759280
Сбербанк;D;17/01/14;000000;101.17;69135170
Сбербанк;D;20/01/14;000000;101.96;62429420
Сбербанк;D;21/01/14;000000;102.2;61991430
Сбербанк;D;22/01/14;000000;102.17;58589100
Сбербанк;D;23/01/14;000000;101.7;70600710
Сбербанк;D;24/01/14;000000;99.7;112821700
Сбербанк;D;27/01/14;000000;97.78;103793450
Сбербанк;D;28/01/14;000000;97.36;80448950
Сбербанк;D;29/01/14;000000;95.98;120814560
Сбербанк;D;30/01/14;000000;95.8;130498640
Сбербанк;D;31/01/14;000000;94.7;103047610
Сбербанк;D;03/02/14;000000;94.66;81505780
